prenom,genre,signification,origine
JOS,m,short form of JOZEF.,[Dutch]
JOSCELIN,m,form of JOCELYN.,[Old Norman]
JOSÉ,m,form of JOSEPH.,"[Spanish, Portuguese]"
JOSÉE,f,feminine form of JOSEPH.,[French]
JOSEFA,f,feminine form of JOSEPH.,"[Spanish, Portuguese, Czech]"
JOSEFINA,f,feminine form of JOSEPH.,"[Spanish, Portuguese, Swedish]"
JOSELYN,f,Variant of JOCELYN.,[English (Modern)]
JOSÈP,m,form of JOSEPH.,[Occitan]
JOSEPE,m,variant of JOSEPH.,[Spanish (Rare)]
JOSEPHA,f,Feminine form of JOSEPH.,"[German (Archaic), English (Rare)]"
JOSEPHINA,f,variant of JOSÉPHINE.,[English (Rare)]
JOSEPHINE,f,form of JOSÉPHINE.,"[English, German, Dutch]"
JOSES,m,"From Ιωσης (Ioses), a Greek variant of JOSEPH used in the New Testament to distinguish Joseph the brother of James from the many other characters of that name.",[Biblical]
JOSH,m,Short form of JOSHUA.,[English]
JOSIAH,m,"From the Hebrew name יֹאשִׁיָהוּ (Yoshiyahu) meaning ""YAHWEH supports"". In the Old Testament this is the name of a king of Judah famous for his religious reforms. He was killed fighting the Egyptians at Megiddo in the 7th century BC. In England this name came into use after the Protestant Reformation.","[Biblical, English]"
JOSIAS,m,form of JOSIAH used in some English versions of the Old Testament.,[Biblical]
JOSIF,m,form of JOSEPH.,"[Serbian, Macedonian]"
JOSIPA,f,feminine form of JOSEPH.,[Croatian]
JOŠKO,m,JOŠKO   m   CroatianDiminutive of JOSIP.,[Croatian]
JOSO,m,JOSO   m   CroatianCroatian diminutive of JOSEPH.,[Croatian]
JOSSE,m,form of Iudocus (see JOYCE).,"[French (Rare), Medieval French]"
JOSSELINE,f,variant of JOCELYN.,[French]
JOŠT,m,form of Iudocus (see JOYCE).,[Slovene]
JOSU,m,form of JESUS.,[Basque]
JOSUNE,f,Feminine form of JOSU.,[Basque]
JOTHI,f,form of JYOTI.,[Tamil]
JOUKO,m,Short form of JOUKAHAINEN.,[Finnish]
JOURDAIN,m,form of JORDAN.,[French]
JOVANA,f,feminine form of JOHN.,"[Serbian, Macedonian]"
JOVE,m,"From Latin Iovis, derived from the stem of Iuppiter (see JUPITER). This was another name of the Roman god Jupiter.",[Roman Mythology (Anglicized)]
JOVITA,f,"feminine form of the Roman name Iovita (masculine), which was derived from the name of the god JOVE. This was the name of an early saint and martyr, the brother of Faustinus.","[Spanish, Portuguese]"
JOWAN,m,form of JOHN.,[Cornish]
JOY,f,"from the English word joy, ultimately derived from Norman French joie, Latin gaudia. It has been regularly used as a given name since the late 19th century.",[English]
JOYE,f,Variant of JOY.,[English]
JOŽE,m,JOŽE   m   SloveneSlovene diminutive of JOSEPH.,[Slovene]
JOŽEF,m,form of JOSEPH.,[Slovene]
JÓZEFA,f,feminine form of JOSEPH.,[Polish]
JOZEFA,f,feminine form of JOSEPH.,"[Hungarian, Slovene]"
JÓZEFINA,f,form of JOSÉPHINE.,[Polish]
JOZEFINA,f,form of JOSÉPHINE.,[Croatian]
JOŽICA,f,feminine form of JOSEPH.,"[Slovene, Croatian]"
JÓZSEF,m,form of JOSEPH.,[Hungarian]
JÓZSUA,m,form of JOSHUA.,[Hungarian]
JU,f,"From Chinese 菊 (jú) meaning ""chrysanthemum"" (which is usually only feminine) or 巨 (jù) meaning ""big, enormous"" (usually only masculine), besides other characters which are pronounced similarly.",[Chinese]
JUAN  (2), (2),"From Chinese 娟 (juān) meaning ""beautiful, graceful"" or other characters which are pronounced similarly.",[Chinese]
JUANITA,f,JUANITA   f   SpanishDiminutive of JUANA.,[Spanish]
JUANNE,m,Variant of GIUANNE.,[Sardinian]
JUDA,m,"Means ""goodness, excellence"", derived from Arabic جاد (jada) ""to be excellent"".",[Arabic]
JUDAS,m,"From Ιουδας (Ioudas), the Greek form of JUDAH. This is the name of several characters in the New Testament including the infamous Judas Iscariot, the apostle who betrayed Jesus to the Jewish authorities in exchange for money.",[Biblical]
JUDDA,f,"derived from the name of the Germanic tribe the Jutes, who originated in Denmark and later invaded and settled in England. The name of the tribe, recorded in Latin as Iutae and Old English as Eotas, is of uncertain origin.",[Ancient Germanic]
JUDE  (2), (2),Short form of JUDITH.,[English]
JUDICAËL,m,"form of the Old Breton name Iudicael, derived from the elements iud ""lord, prince"" and cael ""generous"". This was the name of a 7th-century Breton king, also regarded as a saint.","[French, Breton]"
JUDIKAEL,m,form of JUDICAËL.,[Breton]
JUDITA,f,form of JUDITH.,"[Lithuanian, Czech, Slovak]"
JUDITH,f,"From the Hebrew name יְהוּדִית (Yehudit) meaning ""woman from Judea"", Judea being an ancient region in Israel. In the Old Testament Judith is one of the Hittite wives of Esau. This is also the name of the main character of the apocryphal Book of Judith. She killed Holofernes, an invading Assyrian commander, by beheading him in his sleep.... [more]","[English, Jewish, French, German, Spanish, Biblical]"
JUDOCUS,m,form of Judoc (see JOYCE).,"[Dutch (Archaic), Ancient Celtic (Latinized)]"
JUDYTA,f,form of JUDITH.,[Polish]
JUHÁN,m,form of JOHN.,[Sami]
JUHANA,m,form of JOHN.,[Finnish]
JUHO,m,form of JOHN.,[Finnish]
JULEK,m,JULEK   m   PolishDiminutive of JULIUSZ.,[Polish]
JULES  (1), (1),"form of JULIUS. A notable bearer of this name was the French novelist Jules Verne (1828-1905), author of 'Twenty Thousand Leagues Under the Sea' and other works of science fiction.",[French]
JULI,f,short form of JULIA.,[Hungarian]
JULIA,f,"Feminine form of the Roman family name JULIUS. Among the notable women from this family were Julia Augusta (also known as Livia Drusilla), the wife of Emperor Augustus, and Julia the Elder, the daughter of Augustus and the wife of Tiberius. A person by this name has a brief mention in the New Testament. It was also borne by a few early saints and martyrs, including the patron saint of Corsica. Additionally, Shakespeare used it in his comedy 'The Two Gentlemen of Verona' (1594).... [more]","[English, German, Swedish, Norwegian, Danish, Dutch, Spanish, Polish, Finnish, Russian, Ukrainian, Ancient Roman, Biblical]"
JULIAN,m,"From the Roman name Iulianus, which was derived from JULIUS. This was the name of the last pagan Roman emperor, Julian the Apostate (4th century). It was also borne by several early saints, including the legendary Saint Julian the Hospitaller. This name has been used in England since the Middle Ages, at which time it was also a feminine name (from Juliana, eventually becoming Gillian).","[English, Polish, German]"
JULIANE,f,feminine form of JULIAN.,"[German, French]"
JULIANNE,f,Feminine form of Iulianus (see JULIAN).,[English]
JULIEN,m,form of Iulianus (see JULIAN).,[French]
JULIET,f,Anglicized form of JULIETTE or GIULIETTA. This spelling was first used by Shakespeare for the lover of Romeo in his play 'Romeo and Juliet' (1596).,[English]
JULIJ,m,form of JULIUS.,[Slovene]
JULIJA,f,form of JULIA.,"[Slovene, Croatian, Lithuanian]"
JULINHA,f,JULINHA   f   PortuguesePortuguese diminutive of JÚLIA.,[Portuguese]
JULIO,m,form of JULIUS.,[Spanish]
JULITA,f,form of JULITTA.,[Polish]
JÚLIUS,m,form of JULIUS.,[Slovak]
JULIUSZ,m,form of JULIUS.,[Polish]
JULY,f,"From the name of the month, which was originally named for Julius Caesar.",[English (Rare)]
JUMAANE,m,"Means ""born on Tuesday"" in Swahili.","[Eastern African, Swahili]"
JUMANAH,f,JUMANAH   f   ArabicVariant transcription of JUMANA.,[Arabic]
JUNAID,m,JUNAID   m   ArabicVariant transcription of JUNAYD.,[Arabic]
JUNE,f,"From the name of the month, which was originally derived from the name of the Roman goddess Juno. It has been used as a given name since the 19th century.",[English]
JUNG-HEE,f,JUNG-HEE   f & m   KoreanVariant transcription of JEONG-HUI.,[Korean]
JUNG-SOOK,f,JUNG-SOOK   f   KoreanVariant transcription of JEONG-SUK.,[Korean]
JUNIA,f,Feminine form of JUNIUS. This was the name of an early Christian mentioned in the New Testament (there is some debate about whether the name belongs to a man or a woman).,"[Biblical, Ancient Roman]"
JUNIPER,f,"From the English word for the type of tree, derived ultimately from Latin iuniperus.",[English (Rare)]
JOCHEN,m,form of JOACHIM.,[German]
JOĈJO,m,JOĈJO   m   EsperantoEsperanto diminutive of JOHN or JOSEPH.,[Esperanto]
JOCKEL,m,"JOCKEL   m   GermanDiminutive of JAKOB, JÖRG or JOACHIM.",[German]
JOCKY,m,JOCKY   m   ScottishScottish diminutive of JACK.,[Scottish]
JODENE,f,JODENE   f   English (Rare)Feminine elaboration of JODY.,[English (Rare)]
JODIE,f,variant of JODY.,[English]
JODOCUS,m,form of Judoc (see JOYCE).,"[Dutch (Archaic), Ancient Celtic (Latinized)]"
JOE,m,"Short form of JOSEPH. Five famous sports figures who have had this name are boxers Joe Louis (1914-1981) and Joe Frazier (1944-), baseball player Joe DiMaggio (1914-1999), and football quarterbacks Joe Namath (1943-) and Joe Montana (1956-).",[English]
JOEL,m,"From the Hebrew name יוֹאֵל (Yo'el) meaning ""YAHWEH is God"". Joel is one of the twelve minor prophets of the Old Testament, the author of the Book of Joel, which describes a plague of locusts. In England, it was first used as a Christian name after the Protestant Reformation.","[English, Spanish, Portuguese, Swedish, Finnish, Biblical]"
JOËLLE,f,feminine form of JOEL.,[French]
JOEP,m,JOEP   m   DutchDutch diminutive of JOZEF.,[Dutch]
JOETTA,f,form of JO.,[English]
JOFFREY,m,form of GEOFFREY.,[French]
JOHANA,f,form of Iohanna (see JOANNA).,[Czech]
JÓHANN,m,form of Iohannes (see JOHN).,[Icelandic]
JÓHANNA,f,form of Iohanna (see JOANNA).,[Icelandic]
JOHANNE,f,form of Iohanna (see JOANNA).,"[French, Danish, Norwegian, Medieval French]"
JÓHANNES,m,form of JOHN.,"[Icelandic, Faroese]"
JOHANO,m,form of JOHN.,[Esperanto]
JOHNA,f,Feminine form of JOHN.,[English (Rare)]
JOHNATHON,m,Variant of JONATHAN.,[English]
JOHNNA,f,Feminine form of JOHN.,[English]
JOHNNY,m,JOHNNY   m   EnglishDiminutive of JOHN. A famous bearer is American actor Johnny Depp (1963-).,[English]
JOISSE,f,Variant of JOYCE.,[English (Rare)]
JOKIN,m,form of JOACHIM.,[Basque]
JOKŪBAS,m,form of JACOB (or JAMES).,[Lithuanian]
JOLA,f,Short form of JOLANTA.,[Polish]
JOLANA,f,form of YOLANDA.,"[Czech, Slovak]"
JOLÁNKA,f,"JOLÁNKA   f   Hungarian (Rare)Created by the Hungarian writer András Dugonics for the main character in his novel 'Jólánka, Etelkának Leánya' (1803). He may have based it on Hungarian jóleán meaning ""good girl"" or possibly on the name YOLANDA.",[Hungarian (Rare)]
JOLEEN,f,Variant of JOLENE.,[English]
JOLIE,f,"Means ""pretty"" in French. This name was popularized by American actress Angelina Jolie (1975-), whose surname was originally her middle name. It is not used as a given name in France.",[English]
JÓN,m,form of JOHN.,"[Icelandic, Faroese]"
JON  (2), (2),"Short form of JONATHAN, or sometimes a variant of JOHN.",[English]
JONAH,m,"From the Hebrew name יוֹנָה (Yonah) meaning ""dove"". This was the name of a prophet swallowed by a fish, as told in the Old Testament Book of Jonah. Jonah was commanded by God to preach in Nineveh, but instead fled by boat. After being caught in a storm, the other sailors threw Jonah overboard, at which point he was swallowed. He emerged from the fish alive and repentant three days later.... [more]","[English, Biblical]"
JONÁŠ,m,form of JONAH.,"[Czech, Slovak]"
JONAS  (2), (2),"From Ιωνας (Ionas), the Greek form of JONAH. This spelling is used in some English translations of the New Testament.","[Swedish, Norwegian, Danish, German, Dutch, Biblical]"
JONATAN,m,"form of JONATHAN, as well as a Scandinavian and German variant form.","[Spanish, Swedish, Norwegian, Danish, German]"
JONATHAN,m,"From the Hebrew name יְהוֹנָתָן (Yehonatan),contracted to יוֹנָתָן (Yonatan), meaning ""YAHWEH has given"". According to the Old Testament, Jonathan was the eldest son of Saul. His relationship with his father was strained due to his close friendship with his father's rival David. Along with Saul he was killed in battle with the Philistines.... [more]","[English, German, Swedish, Norwegian, Danish, Dutch, French, Biblical]"
JONE  (1), (1),feminine form of JON  (1).,[Basque]
JONELLE,f,Feminine form of JOHN.,[English (Rare)]
JONG,f,JONG   f & m   KoreanVariant transcription of JEONG.,[Korean]
JONI  (1), (1),JONI  (1)   f   EnglishDiminutive of JOAN  (1).,[English]
JONIE,f,JONIE   f   EnglishDiminutive of JOAN  (1).,[English]
JONNY,m,JONNY   m   EnglishDiminutive of JONATHAN.,[English]
JONTY,m,JONTY   m   English (British)Diminutive of JONATHAN.,[English (British)]
JOON,m,JOON   m   KoreanVariant transcription of JUN.,[Korean]
JOONAS,m,form of JONAS  (2).,[Finnish]
JOOP,m,JOOP   m   DutchDutch diminutive of JOHANNES or JOZEF.,[Dutch]
JOOS,m,"short form of JODOCUS, JUSTUS or JOZEF.",[Dutch]
JOOSEPPI,m,form of JOSEPH.,[Finnish]
JOO-WON,m,JOO-WON   m & f   KoreanVariant transcription of JU-WON.,[Korean]
JÖRAN,m,Variant of GÖRAN.,[Swedish]
JORDÁN,m,form of JORDAN.,[Spanish]
JORDANA,f,Feminine form of JORDAN.,"[Spanish, Portuguese, Macedonian, English (Rare)]"
JORDÃO,m,form of JORDAN.,[Portuguese]
JÖRDIS,f,form of HJÖRDÍS.,[German]
JORDYN,f,variant of JORDAN.,[English (Modern)]
JØRG,m,short form of JØRGEN.,"[Danish, Norwegian]"
JÖRGEN,m,form of JÜRGEN.,[Swedish]
JORGINHO,m,JORGINHO   m   PortuguesePortuguese diminutive of JORGE.,[Portuguese]
JORIS,m,form of GEORGE.,"[Dutch, Frisian]"
JORMA,m,form of JEREMIAH.,[Finnish]
JORRIT,m,form of GERARD.,[Frisian]
JORUNN,f,"From the Old Norse name Jórunnr, derived from the elements jór ""horse"" and unna ""love"".",[Norwegian]
JORY,m,form of GEORGE.,[Cornish]
JOSAPHAT,m,form of JEHOSHAPHAT used in some English versions of the New Testament.,[Biblical]
JOSCELINE,f,Variant of JOCELYN.,[English (Rare)]
JOSEBA,m,form of JOSEPH.,[Basque]
JOSEF,m,form of JOSEPH.,"[German, Swedish, Norwegian, Danish, Czech]"
JOSEFIINA,f,feminine form of JOSEPH.,[Finnish]
JOSEFINE,f,form of JOSÉPHINE.,"[Swedish, Danish, Norwegian, German]"
JOSEMARÍA,m,JOSEMARÍA   m   SpanishCombination of JOSÉ and MARÍA.,[Spanish]
JOSEP,m,form of JOSEPH.,[Catalan]
JOSEPH,m,"From Ioseph, the Latin form of Greek Ιωσηφ (Ioseph), which was from the Hebrew name יוֹסֵף (Yosef) meaning ""he will add"". In the Old Testament Joseph is the eleventh son of Jacob and the first with his wife Rachel. Because he was the favourite of his father, his older brothers sent him to Egypt and told their father that he had died. In Egypt, Joseph became an advisor to the pharaoh, and was eventually reconciled with his brothers when they came to Egypt during a famine. This name also occurs in the New Testament, belonging to Saint Joseph the husband of Mary, and to Joseph of Arimathea.... [more]","[English, French, German, Biblical]"
JOSÈPHE,f,feminine form of JOSEPH.,[French]
JOSÉPHINE,f,"feminine form of JOSEPH. A notable bearer of this name was the first wife of Napoleon Bonaparte, Joséphine de Beauharnais (1763-1814).",[French]
JOSEPHUS,m,"form of JOSEPH. This form is used by Dutch Catholics. In English, it is used primarily to refer to the 1st-century Jewish historian Titus Flavius Josephus.","[Dutch, History]"
JOSETTE,f,JOSETTE   f   FrenchDiminutive of JOSÉPHINE.,[French]
JOSHUA,m,"From the Hebrew name יְהוֹשֻׁעַ (Yehoshu'a) meaning ""YAHWEH is salvation"". As told in the Old Testament, Joshua was a companion of Moses. He went up Mount Sinai with Moses when he received the Ten Commandments from God, and later he was one of the twelve spies sent into Canaan. After Moses died Joshua succeeded him as leader of the Israelites and he led the conquest of Canaan. His original name was Hoshea.... [more]","[English, Biblical]"
JOSIANE,f,JOSIANE   f   FrenchDiminutive of JOSÉPHINE.,[French]
JOSIE,f,Short form of JOSEPHINE.,[English]
JOSIP,m,form of JOSEPH.,"[Croatian, Slovene]"
JÓSKA,m,JÓSKA   m   HungarianDiminutive of JÓZSEF.,[Hungarian]
JOSLYN,f,Variant of JOCELYN.,[English (Modern)]
JOSS,f,Short form of JOCELYN.,[English]
JOSSELIN,m,variant of JOCELYN.,[French]
JOSSLYN,f,Variant of JOCELYN.,[English (Rare)]
JOST,m,form of Iudocus (see JOYCE).,[German]
JOSUÉ,m,form of JOSHUA.,"[French, Spanish, Portuguese]"
JOTHAM,m,"Means ""YAHWEH is upright"" in Hebrew. In the Old Testament this is the name of both a son of Gideon and a king of Judah.",[Biblical]
JOUKAHAINEN,m,"JOUKAHAINEN   m   Finnish MythologyMeaning unknown. In the Finnish epic the 'Kalevala' this is the name of a youth who challenges Väinämöinen to a chanting (or spellcasting) duel. Joukahainen loses, and must promise his sister Aino to Väinämöinen.",[Finnish Mythology]
JOUNI,m,form of JOHN.,[Finnish]
JOVAN,m,form of JOHN.,"[Serbian, Macedonian]"
JOVANKA,f,"JOVANKA   f   Serbian, MacedonianDiminutive of JOVANA.","[Serbian, Macedonian]"
JOVIAN,m,"From Latin Iovianus, a Roman cognomen which was a derivative of Iovis (see JOVE). This was the name of a 4th-century Roman emperor.",[Ancient Roman (Anglicized)]
JOVKA,f,JOVKA   f   MacedonianDiminutive of JOVANA.,[Macedonian]
JOWITA,f,form of JOVITA.,[Polish]
JOYCE,f,"From the medieval masculine name Josse, which was derived from the earlier Iudocus, which was a Latinized form of the Breton name Judoc meaning ""lord"". The name belonged to a 7th-century Breton saint, and Breton settlers introduced it to England after the Norman conquest. It became rare after the 14th century, but was later revived as a feminine name, perhaps because of similarity to the Middle English word joise ""to rejoice"". This given name also formed the basis for a surname, as in the case of the Irish novelist James Joyce (1882-1941).",[English]
JOZAFAT,m,form of JOSAPHAT. This was the name of a 17th-century Polish saint and martyr who attempted to reconcile the Catholic and Eastern Churches.,[Polish (Rare)]
JÓZEF,m,form of JOSEPH.,[Polish]
JOZEF,m,form of JOSEPH.,"[Slovak, Dutch]"
JOŽEFA,f,feminine form of JOSEPH.,[Slovene]
JOZEFIEN,f,form of JOSÉPHINE.,[Dutch]
JOZEFÍNA,f,form of JOSÉPHINE.,[Slovak]
JOZEFO,m,form of JOSEPH.,[Esperanto]
JOZO,m,JOZO   m   CroatianCroatian diminutive of JOSEPH.,[Croatian]
JÓZSI,m,JÓZSI   m   HungarianDiminutive of JÓZSEF.,[Hungarian]
JOZUA,m,form of JOSHUA.,[Dutch]
JUAN  (1), (1),"form of Iohannes (see JOHN). This name is borne by Don Juan, a character from Spanish legend who, after killing his lover's father, is dragged to hell by the father's ghost.","[Spanish, Manx]"
JUANA,f,"form of Iohanna (see JOANNA), making it the feminine form of JUAN  (1). This name was borne by Juana the Mad, a 16th-century queen of Castile.",[Spanish]
JUANITO,m,JUANITO   m   SpanishDiminutive of JUAN  (1).,[Spanish]
JUBAL,m,"Means ""stream"" in Hebrew. This name is mentioned in Genesis in the Old Testament as belonging to the first person to be a musician.",[Biblical]
JUDAH,m,"From the Hebrew יְהוּדָה (Yehudah) which meant ""praised"". In the Old Testament Judah is the fourth of the twelve sons of Jacob by Leah, and the ancestor of the tribe of Judah. An explanation for his name is given in Genesis 29:35. His tribe eventually formed the Kingdom of Judah in the south of Israel. King David and Jesus were among the descendants of him and his wife Tamar. This name was also borne by Judah Maccabee, the Jewish priest who revolted against Seleucid rule in the 2nd century BC, as told in the Books of Maccabees.... [more]",[Biblical]
JUDD,m,derived from the medieval name.,"[English, Medieval English]"
JUDE  (1), (1),"Variant of JUDAS. It is used in many English versions of the New Testament to denote the second apostle named Judas, in order to distinguish him from Judas Iscariot. He was supposedly the author of the Epistle of Jude. In the English-speaking world, Jude has occasionally been used as a given name since the time of the Protestant Reformation.","[English, Biblical]"
JUDI,f,JUDI   f   EnglishDiminutive of JUDITH.,[English]
JUDIE,f,JUDIE   f   EnglishDiminutive of JUDITH.,[English]
JUDIT,f,Form of JUDITH.,"[Hungarian, Spanish, Swedish, Norwegian, Danish, German]"
JUDITE,f,form of JUDITH.,[Portuguese]
JUDOC,m,form of JOYCE.,"[Breton, Ancient Celtic]"
JUDY,f,JUDY   f   EnglishDiminutive of JUDITH. A well-known bearer of this name was singer and actress Judy Garland (1922-1969).,[English]
JUHA,m,form of JOHN.,[Finnish]
JUHAN,m,form of JOHN.,[Estonian]
JUHANI,m,form of JOHN.,[Finnish]
JUKKA,m,form of JOHN.,[Finnish]
JULEN,m,form of Iulianus (see JULIAN).,[Basque]
JULES  (2), (2),JULES  (2)   f & m   EnglishDiminutive of JULIA or JULIAN.,[English]
JÚLIA,f,form of JULIA.,"[Portuguese, Catalan, Hungarian, Slovak]"
JULIÁN,m,form of Iulianus (see JULIAN).,[Spanish]
JULIANA,f,"Feminine form of Iulianus (see JULIAN). This was the name of a 4th-century saint and martyr from Nicomedia, and also of the Blessed Juliana of Norwich, also called Julian, a 14th-century mystic and author. The name was also borne by a 20th-century queen of the Netherlands. In England, this form has been in use since the 18th century, alongside the older form Gillian.","[Dutch, German, English, Spanish, Portuguese, Ancient Roman]"
JULIANNA,f,Feminine form of Iulianus (see JULIAN).,"[Hungarian, Polish, English]"
JULIE,f,form of JULIA. It has spread to many other regions as well. It has been common in the English-speaking world since the early 20th century.,"[French, Danish, Norwegian, Czech, English, German, Dutch, Spanish, Portuguese]"
JULIENNE,f,feminine form of Iulianus (see JULIAN).,[French]
JULIETTE,f,JULIETTE   f   FrenchFrench diminutive of JULIE.,[French]
JŪLIJA,f,form of JULIA.,[Latvian]
JULIJANA,f,form of JULIANA.,"[Slovene, Croatian, Serbian, Macedonian]"
JÚLIO,m,form of JULIUS.,[Portuguese]
JULISKA,f,JULISKA   f   HungarianHungarian diminutive of JULIA.,[Hungarian]
JULITTA,f,JULITTA   f   HistoryDiminutive of JULIA. This was the name of a 4th-century saint who was martyred in Tarsus with her young son Quiricus.,[History]
JULIUS,m,"From a Roman family name which was possibly derived from Greek ιουλος (ioulos) meaning ""downy-bearded"". Alternatively, it could be related to the name of the Roman god JUPITER. This was a prominent patrician family of Rome, who claimed descent from the mythological Julus, son of Aeneas. Its most notable member was Gaius Julius Caesar, who gained renown as a military leader for his clever conquest of Gaul. After a civil war he became the dictator of the Roman Republic, but was eventually stabbed to death in the senate.... [more]","[Ancient Roman, English, German]"
JULIYA,f,"JULIYA   f   Russian, UkrainianVariant transcription of YULIYA.","[Russian, Ukrainian]"
JULYAN,m,variant of JULIAN.,[English (Rare)]
JUMANA,f,"Means ""pearl"" in Arabic.",[Arabic]
JUN,m,"From Chinese 君 (jūn) meaning ""king, ruler"", 俊 (jùn) meaning ""talented, handsome"" (which is usually only masculine) or 军 (jūn) meaning ""army"" (also usually only masculine). This is also a single-character Korean name, often from the hanja 俊 meaning ""talented, handsome"". This name can be formed by other characters besides those shown here.","[Chinese, Korean]"
JUNAYD,m,"Means ""small army"", derived from Arabic جند (jund) ""army, soldiers"".",[Arabic]
JUNG,f,JUNG   f & m   KoreanVariant transcription of JEONG.,[Korean]
JUNG-HOON,m,JUNG-HOON   m   KoreanVariant transcription of JEONG-HUN.,[Korean]
JUN-HO,m,"From Sino-Korean 俊 (jun) meaning ""talented, handsome"" combined with 鎬 (ho) meaning ""stove, bright"" or 昊 (ho) meaning ""summer, sky, heaven"". This name can be formed by other hanja character combinations as well.",[Korean]
JUNIOR,m,From a nickname which was originally used for a boy who had the same name as his father.,[English]
JUNÍPERO,m,"from Latin iuniperus ""juniper"".",[Various]
JUNIUS,m,"derived from the name of the Roman goddess JUNO. It was borne by Lucius Junius Brutus, the founder of the Roman Republic in the 6th century BC. It was also borne by the 1st-century BC Roman politician Marcus Junius Brutus, commonly known as Brutus, who was one of the assassins of Julius Caesar.",[Ancient Roman]
JUNO,f,"JUNO   f   Roman MythologyMeaning unknown, possibly related to an Indo-European root meaning ""youth"", or possibly of Etruscan origin. In Roman mythology Juno was the wife of Jupiter and the queen of the heavens. She was the protectress of marriage and women, and was also the goddess of finance.",[Roman Mythology]
JUOZAPAS,m,form of JOSEPH.,[Lithuanian]
JUPITER,m,"From Latin Iuppiter, which was ultimately derived from the Indo-European *Dyeu-pater, composed of the elements Dyeus (see ZEUS) and pater ""father"". Jupiter was the supreme god in Roman mythology. He presided over the heavens and light, and was responsible for the protection and laws of the Roman state. This is also the name of the fifth and largest planet in the solar system.",[Roman Mythology (Anglicized)]
JURE,m,form of GEORGE.,"[Slovene, Croatian]"
JÜRGEN,m,form of GEORGE.,[Low German]
JURGIS,m,form of GEORGE.,[Lithuanian]
JURICA,m,"JURICA   m   Croatian, SloveneDiminutive of JURAJ or JURIJ.","[Croatian, Slovene]"
JURIS,m,form of GEORGE.,[Latvian]
JURO  (2), (2),JURO  (2)   m   JapaneseVariant transcription of JUROU.,[Japanese]
JURRE,m,Short form of JURRYT.,[Frisian]
JURRYT,m,form of GERARD.,[Frisian]
JUSTE,m,form of JUSTUS.,[French]
JUSTIN,m,"From the Latin name Iustinus, which was derived from JUSTUS. This was the name of several early saints including Justin Martyr, a Christian philosopher of the 2nd century who was beheaded in Rome. It was also borne by two Byzantine emperors. As an English name, it has occasionally been used since the late Middle Ages, though it did not become common until the 20th century. Famous modern bearers include pop stars Justin Timberlake (1981-) and Justin Bieber (1994-).","[English, French, Slovene]"
JUSTINA,f,Feminine form of Iustinus (see JUSTIN).,"[English, Slovene, Czech, Lithuanian, Late Roman]"
JUSTINE,f,feminine form of Iustinus (see JUSTIN). This is the name of the heroine in the novel 'Justine' (1791) by the Marquis de Sade.,"[French, English, Dutch, German]"
JUSTUS,m,"JUSTUS   m   German, Dutch, Late RomanLatin name which meant ""just"". This name was borne by at least eight saints.","[German, Dutch, Late Roman]"
JUSTYN,m,form of Iustinus (see JUSTIN).,[Polish]
JUSTYNA,f,feminine form of Iustinus (see JUSTIN).,[Polish]
JUTURNA,f,JUTURNA   f   Roman MythologyMeaning unknown. Juturna was the Roman goddess of fountains and springs.,[Roman Mythology]
JUVELA,f,"Means ""jewel-like"" in Esperanto.",[Esperanto]
JUVENTAS,f,"Means ""youth"" in Latin. Juventas was the Roman goddess of youth, equivalent to the Greek goddess Hebe.",[Roman Mythology]
JYOTHI,f,form of JYOTI.,"[Indian, Telugu, Malayalam]"
JYOTSANA,f,Variant of JYOTSNA.,"[Indian, Hindi]"
JYRGAL,m,"Means ""happiness"" in Kyrgyz.",[Kyrgyz]
JYRKI,m,form of JÖRG.,[Finnish]
KAAN,m,Variant of KAĞAN.,[Turkish]
KAAPRO,m,form of GABRIEL.,[Finnish]
KAARLE,m,form of CHARLES.,[Finnish]
KACEY,f,Variant of CASEY.,[English (Modern)]
KACPER,m,form of JASPER.,[Polish]
KADEK,m,"from Balinese adik meaning ""younger sibling"". This name is traditionally given to the second-born child.","[Indonesian, Balinese]"
KADER  (1), (1),KADER  (1)   m   ArabicVariant transcription of QADIR.,[Arabic]
KADİR,m,form of QADIR.,[Turkish]
KADRI,f,form of KATHERINE.,[Estonian]
KADRİYE,f,Feminine form of KADRİ.,[Turkish]
KAEDE,f,"From Japanese 楓 (kaede) meaning ""maple"" or other kanji which are pronounced the same way.",[Japanese]
KAELEA,f,Variant of KAYLEE.,[English (Rare)]
KAELYN,f,Variant of KAYLYN.,[English (Modern)]
KAĞAN,m,"From a Turkish title meaning ""king, ruler"", ultimately of Mongolian origin. The title is usually translated into English as Khan.",[Turkish]
KAHINA,f,"Derived from Arabic الكاهِنة (al-Kahinah) meaning ""the diviner, the fortuneteller"". This was a title applied to the 7th-century Berber queen Dihya, who resisted the Arab expansion into North Africa.","[Northern African, Berber]"
KAI  (1), (1),"KAI  (1)   m   Frisian, German, Swedish, Norwegian, Danish, Finnish, DutchMeaning uncertain, possibly a Frisian diminutive of GERHARD, NICOLAAS, CORNELIS or GAIUS.","[Frisian, German, Swedish, Norwegian, Danish, Finnish, Dutch]"
KAI  (3), (3),"Means ""sea"" in Hawaiian.",[Hawaiian]
KAIDEN,m,Variant of CADEN.,[English (Modern)]
KAILA,f,form of KELILA.,[Yiddish]
